CardCode,AccNum,FeeNum,MonDeal,DealerNum,DealTime,StaNum,OptNum,RecFlag,DealPeriodNo
84,10044,1,0,0,2018-09-28 11:28:21.537,1,1001,1,-1
84,10044,35,0,0,2018-09-28 11:28:40.803,1,1001,1,-1
85,10044,35,0,0,2018-09-28 11:28:51.263,1,1001,1,-1
86,10044,35,0,0,2018-09-28 11:29:00.783,1,1001,1,-1
88,10049,1,0,0,2018-09-28 11:30:47.917,1,1001,1,-1
88,10049,35,0,0,2018-09-28 11:31:08.467,1,1001,1,-1
89,10049,35,0,0,2018-09-28 11:31:19.207,1,1001,1,-1
90,10049,35,0,0,2018-09-28 11:31:30.240,1,1001,1,-1
92,10051,1,0,0,2018-09-28 11:32:16.023,1,1001,1,-1
92,10051,35,0,0,2018-09-28 11:32:35.833,1,1001,1,-1
94,10082,1,0,0,2018-09-28 11:38:45.373,1,1001,1,-1
94,10082,35,0,0,2018-09-28 11:39:08.917,1,1001,1,-1
96,10084,1,0,0,2018-09-28 11:39:40.310,1,1001,1,-1
96,10084,35,0,0,2018-09-28 11:40:10.857,1,1001,1,-1
98,10079,1,0,0,2018-09-28 11:40:56.087,1,1001,1,-1
98,10079,35,0,0,2018-09-28 11:41:21.887,1,1001,1,-1
100,10080,1,0,0,2018-09-28 11:41:43.760,1,1001,1,-1
100,10080,35,0,0,2018-09-28 11:42:22.377,1,1001,1,-1
102,10178,1,0,0,2018-09-28 11:46:13.743,1,1001,1,-1
102,10178,35,0,0,2018-09-28 11:46:36.000,1,1001,1,-1
103,10178,35,0,0,2018-09-28 11:46:53.090,1,1001,1,-1
105,10052,1,0,0,2018-09-28 15:12:23.140,1,1001,1,-1
106,10056,1,0,0,2018-09-28 15:15:14.677,1,1001,1,-1
106,10056,35,0,0,2018-09-28 15:15:38.190,1,1001,1,-1
108,10054,1,0,0,2018-09-28 15:16:05.197,1,1001,1,-1
108,10054,35,0,0,2018-09-28 15:16:31.853,1,1001,1,-1
110,10297,1,0,0,2018-09-28 15:19:48.417,1,1001,1,-1
111,10280,1,0,0,2018-09-28 15:23:50.410,1,1001,1,-1
112,10275,1,0,0,2018-09-28 15:24:13.333,1,1001,1,-1
113,10282,1,0,0,2018-09-28 15:24:31.897,1,1001,1,-1
113,10282,35,0,0,2018-09-28 15:24:54.583,1,1001,1,-1
115,10283,1,0,0,2018-09-28 15:25:19.467,1,1001,1,-1
115,10283,35,0,0,2018-09-28 15:25:41.000,1,1001,1,-1
117,10276,1,0,0,2018-09-28 15:26:03.773,1,1001,1,-1
