sn_num,name,remark_pictures_text,unit_id
1007071,1层北电井南侧箱下左边,http://cdn-app.diandingding.com/upload/15831118536/5228eaa8-f280-11e6-b3d2-00163e012235,3414
1007072,4层北电井北侧箱公共照明B,http://cdn-app.diandingding.com/upload/15831118536/c3f38fd4-f259-11e6-b3d2-00163e012235,3414
1007073,5楼办公区电井应急照明,http://cdn-app.diandingding.com/upload/15831118536/2633b5fa-f1c1-11e6-8a18-00163e012235,3414
1007074,4层北电井北侧箱第三排商户C,http://cdn-app.diandingding.com/upload/15831118536/feecba2a-f259-11e6-b3d2-00163e012235,3414
1007075,5楼办公区电井灭弧箱B,http://cdn-app.diandingding.com/upload/15831118536/eb62c9d0-f1bf-11e6-8a18-00163e012235,3414
1007076,外围意尔康A,http://cdn-app.diandingding.com/upload/15831118536/906486ce-f1c2-11e6-8a18-00163e012235,3414
1007077,3层南电井北侧箱第二排商户B,http://cdn-app.diandingding.com/upload/15831118536/6503b524-f260-11e6-b3d2-00163e012235,3414
1007079,4层北电井南侧箱第三排商户C,http://cdn-app.diandingding.com/upload/15831118536/84890aac-f25b-11e6-b3d2-00163e012235,3414
1007080,6楼办公区电井应急照明右侧,http://cdn-app.diandingding.com/upload/15831118536/354af470-f1be-11e6-8a18-00163e012235,3414
1007081,3层北电井南侧箱第二排商户C,http://cdn-app.diandingding.com/upload/15831118536/82f1fdd6-f25e-11e6-b3d2-00163e012235,3414
1007082,4层北电井南侧箱公共照明B,http://cdn-app.diandingding.com/upload/15831118536/33e4625e-f25b-11e6-b3d2-00163e012235,3414
1007084,4层北电井南侧箱第三排商户D,http://cdn-app.diandingding.com/upload/15831118536/b6b95fcc-f25b-11e6-b3d2-00163e012235,3414
1007085,3层南电井南侧箱第三排商户C,http://cdn-app.diandingding.com/upload/15831118536/fdf5b39a-f260-11e6-b3d2-00163e012235,3414
1007086,4层南电井北侧箱第三排商户C,http://cdn-app.diandingding.com/upload/15831118536/6677ad8c-f258-11e6-b3d2-00163e012235,3414
1007087,6楼办公区电井灭弧箱E,http://cdn-app.diandingding.com/upload/15831118536/5e8effb2-f1bd-11e6-8a18-00163e012235,3414
1007088,6楼办公区电井应急照明左侧,http://cdn-app.diandingding.com/upload/15831118536/149161f6-f1be-11e6-8a18-00163e012235,3414
1007089,1层南电井南侧箱下右侧,http://cdn-app.diandingding.com/upload/15831118536/6fff30c8-f267-11e6-b3d2-00163e012235,3414
1007090,6楼办公区电井灭弧箱D,http://cdn-app.diandingding.com/upload/15831118536/8eb5ae16-f1bd-11e6-8a18-00163e012235,3414
1007091,5楼办公区电井灭弧箱A,http://cdn-app.diandingding.com/upload/15831118536/741e0b0e-f1c0-11e6-8a18-00163e012235,3414
1007092,2层北电井南侧箱第三排商户,http://cdn-app.diandingding.com/upload/15831118536/31d9abbc-f266-11e6-b3d2-00163e012235,3414
1007093,3层南电井北侧箱第三排商户C,http://cdn-app.diandingding.com/upload/15831118536/85b156b4-f260-11e6-b3d2-00163e012235,3414
1007094,2层南电井北侧箱第二排商户B,http://cdn-app.diandingding.com/upload/15831118536/f9862a94-f263-11e6-b3d2-00163e012235,3414
1007095,2层南电井南侧箱第三排商户C,http://cdn-app.diandingding.com/upload/15831118536/c326f6bc-f264-11e6-b3d2-00163e012235,3414
1007096,2层北电井北侧箱第三排商户,http://cdn-app.diandingding.com/upload/15831118536/e6d20308-f265-11e6-b3d2-00163e012235,3414
1007098,4层南电井北侧箱公共照明A,http://cdn-app.diandingding.com/upload/15831118536/92f87d96-f258-11e6-b3d2-00163e012235,3414
1007101,2层南电井南侧箱公共照明A,http://cdn-app.diandingding.com/upload/15831118536/69bb808e-f264-11e6-b3d2-00163e012235,3414
1007102,3层北电井北侧箱第三排商户C,http://cdn-app.diandingding.com/upload/15831118536/9d5f52dc-f25d-11e6-b3d2-00163e012235,3414
1007103,3层北电井南侧箱公共照明A,http://cdn-app.diandingding.com/upload/15831118536/5fdc3a00-f25e-11e6-b3d2-00163e012235,3414
1007104,外围意尔康B,http://cdn-app.diandingding.com/upload/15831118536/3d84b6b8-f1c2-11e6-8a18-00163e012235,3414
1007105,-1层北电井北侧箱公共照明B,http://cdn-app.diandingding.com/upload/15831118536/9b6d9306-f269-11e6-b3d2-00163e012235,3414
1007106,2层北电井南侧箱公共照明,http://cdn-app.diandingding.com/upload/15831118536/9a997d86-f265-11e6-b3d2-00163e012235,3414
1007107,1层北电井南侧箱下右边,http://cdn-app.diandingding.com/upload/15831118536/8430c53e-f280-11e6-b3d2-00163e012235,3414
1007108,四层北电井北侧箱加装灭弧空开16,"http://cdn-app.diandingding.com/upload/15230831776/221f8690-dac8-11e9-9a6f-00163e012235,http://cdn-app.diandingding.com/upload/15230831776/221f8fc8-dac8-11e9-9a6f-00163e012235,http://cdn-app.diandingding.com/upload/15230831776/221f96b2-dac8-11e9-9a6f-00163e012235",3414
1007109,外围意尔康C,http://cdn-app.diandingding.com/upload/15831118536/73f25282-f1c2-11e6-8a18-00163e012235,3414
1007110,1层北电井北侧箱下右侧,http://cdn-app.diandingding.com/upload/15831118536/4635c144-f1c7-11e6-8a18-00163e012235,3414
1007111,3层北电井北侧箱第三排商户D,http://cdn-app.diandingding.com/upload/15831118536/dd668a4e-f25d-11e6-b3d2-00163e012235,3414
